Date,Datasource,Campaign,Clicks,Impressions
01.01.2019,Facebook Ads,Like Ads,274,1979
01.01.2019,Facebook Ads,Offer Campaigns - Conversions,10245,764627
01.01.2019,Google Adwords,B2B - Leads,7,444
01.01.2019,Google Adwords,GDN Prospecting - App - Prio 1 Offer,16,12535
01.01.2019,Google Adwords,GDN Prospecting - App - Prio 2 Offer,93,18866
01.01.2019,Google Adwords,GDN Prospecting - Desktop - India Offer,72,59558
01.01.2019,Google Adwords,GDN Prospecting - Desktop - Prio 1 Offer,65,34592
01.01.2019,Google Adwords,GDN Prospecting - Desktop - Prio 2 Offer,26,20901
01.01.2019,Google Adwords,GDN Prospecting - Desktop - Prio 3 Offer,87,47845
01.01.2019,Google Adwords,GDN Prospecting - Desktop - Prio 4 Offer,263,106641
01.01.2019,Google Adwords,GDN Prospecting - Interstitials - Prio 1 Offer,19,11483
01.01.2019,Google Adwords,GDN Prospecting - Interstitials - Prio 2 Offer,90,19809
01.01.2019,Google Adwords,GDN Prospecting - Mobile - Prio 1 Offer,46,17143
02.01.2019,Google Adwords,GDN Prospecting - Mobile - Prio 2 Offer,266,25319
02.01.2019,Google Adwords,GDN Prospecting - Mobile - Prio 3 Offer,154,24073
02.01.2019,Google Adwords,GDN Prospecting - Mobile - Prio 4 Offer,343,17808
02.01.2019,Google Adwords,GDN RMKT - App - Prio 1 Offer,6,1589
02.01.2019,Google Adwords,GDN RMKT - App - Prio 2 Offer,29,4021
02.01.2019,Google Adwords,GDN RMKT - Desktop - India Offer,1,392
03.01.2019,Google Adwords,GDN RMKT - Desktop - Prio 1 Offer,1,505
03.01.2019,Google Adwords,GDN RMKT - Desktop - Prio 3 Offer,31,10149
03.01.2019,Google Adwords,GDN RMKT - Desktop - Prio 4 Offer,5,1132
03.01.2019,Google Adwords,GDN RMKT - Interstitials - Prio 1 Offer,6,680
03.01.2019,Google Adwords,GDN RMKT - Interstitials - Prio 2 Offer,17,2672
04.01.2019,Google Adwords,GDN RMKT - Mobile - Prio 1 Offer,4,720
04.01.2019,Google Adwords,GDN RMKT - Mobile - Prio 2 Offer,13,2619
04.01.2019,Google Adwords,GDN RMKT - Mobile - Prio 3 Offer,34,3284
04.01.2019,Google Adwords,GDN RMKT - Mobile - Prio 4 Offer,73,4686
04.01.2019,Google Adwords,New General Campaign - Africa - Desktop,9,165
07.01.2019,Google Adwords,New General Campaign - Africa - Desktop,9000,165
10.01.2019,Google Adwords,GDN RMKT - Mobile - Prio 1 Offer,5000,720
